id,employee_id,teachos_user_id,full_name,org_email,mobile,date_of_joining,department,sub_department,designation,direct_manager,work_location,workspace,gender,current_state,current_city,darwin_employee_status,in_darwin,in_teachos,teachos_role,teachos_category,teachos_manager,institutes,computed_status,manual_status,exit_date,converted_university_name,notes,classification,classification_reason,exit_flag,exit_flag_status,exit_flag_date,in_darwin_full_roster,dept_bucket,dept_area,deployment_status,payroll_candidate_matched,payroll_candidate_note
27,,78c2afb3644a4275aff01d0483548fd2,Jamuna Jhansi,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
45,,421cc684b2ac4911be85c22e95b7380a,Aditya Kshirsagar,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Sanjay Ghodawat University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
3,NW0007262,t-03,Priya Shah,priyashah@edtech.example,,2026-07-31,Instructors,University Programs,Lead Instructor,,,,,,,Active,t,f,,,,{},active,,2026-08-08,,,,,f,,,f,,,,f,
38,,96816d70ae114d3e85bfbc7c0b1c3187,Muskan Vasudeo Bajaj,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""A Dy Patil University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
44,,6eda6ced091742078d62c76a39e8348b,Kuruva Bhargav,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
49,,b9d1ddf724564b2291311bf92e176f0a,Thamil Oviyan I,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,{AMET},needs_review,,,,,,,f,,,f,tech,,deployed,f,
33,,462f2beb9a094597b9fe3357fa801d81,Potluri Divya Sri,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,{NRI},needs_review,,,,,,,f,,,f,tech,,deployed,f,
26,,2a160101514f436abed09c4d1268e674,C H V S Aditya,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
70,,2aa66cfacdc549568416ca15422c4dd4,Chiluka Mounika,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Nxtwave Institute of Advanced Technologies""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
75,,5ed790b78126438081cb7320aed0bc7d,Janamoni Shyamala,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Chaitanya Deemed-to-be University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
62,,d70e50747b4e4617ad1cd283570c2850,Chintakrindi Sai Siva Teja,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Aurora University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
34,,1114aa0ab40843a684c7e90c837c7fd1,Rachamalla Venkateswarlu,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Crescent University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
73,,e56e4d2323a64d99acc71d4cc9834b77,Lakshana R,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,{AMET},needs_review,,,,,,,f,,,f,tech,,deployed,f,
80,,810b87181412413ea114288cf46e5b66,Puli Yash Vardhan,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Aurora University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
72,,f3c420f56fd8482d99cf6c1006f62c9d,Katta Sahithi,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Malla Reddy University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
74,,a93ff9a5cae54a0abe0d5ede3235fc3f,Sandela Shiva Sai,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
86,,d31130a227f14178a65d1ba990893be6,Sura Ashwini,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
98,,f271428769bd4a2aa9a214190bd2b2dc,Rachapalli Venu,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
76,,17fa5ea2b45343cbaee809bf01fe9d48,Sanjana D,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
104,,97cd12b4ccc84595bf67808068a1688f,Sagarika Mahata,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""A Dy Patil University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
100,,1c6c9a6cbb73498b831f8ef1fa1b13b2,Thishna,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Takshasila University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
116,,6303e41f532f4875b586f424876c1c49,Mohammad Izhaar Ahmed,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Chaitanya Deemed-to-be University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
107,,29adb9b8ad8b49ffb75a9aaf556c94b4,Manishraj R,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
106,,23b230a5396f4d87bdfb4cdbf9580677,Yaswanth Boddikurapati,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
94,,765f86776b8b47c7804a50878e5fb5aa,Sainadh Kari,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
113,,810dae11be9f47c0afd3e550a47bd60f,Jakkani Rishikesh,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
128,,b6f7bb77e874495a8600008ae5165831,Md Belal Arshad,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""NIAT Chevella""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
136,,d6ea02b2433d498db44d2f0202f808c5,Saumya Sunil Patil,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
150,,cb4592e3a1f340c59e1d94d992aa2bac,Sachin Muskudi,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
91,,4796020b460c4968ad331a2300b57138,Gajwada Greeshma,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""NIAT Chevella""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
165,,7421ad8d9d754b8897edaba89af0c32a,Nanthini S,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Nxtwave Institute of Advanced Technologies""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
133,,7c27a6165514454a9dcc97a5d1f1f934,Sanmathi G,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Annamacharya University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
151,,fbcb01c117834cd78b1d210126e550c6,Kosetti Niharika,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
144,,6b3703bf6f9a426fa688548e19d0f934,Pranathi Kagithala,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Chalapathy (CITY)""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
145,,ac26faa28a834f529c161663ad27b473,Kintali Sri Varsha,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
163,,27042225b2f24042b7d985551670ed4b,G Poojitha,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
159,,3768e37e310d46eaa4561427f6337749,BANAVATH NAVEENA,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
85,,a56b0c92ccb94d06889f1f33ae81f8a8,Lavish Kumar Varshney,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
195,,9460a803549549c7ad9b9ed88ac63ae3,Sparsh,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Sushant University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
183,,9570d2dd363648bda1f36b714fdad10e,Chitti Harsh Vardhan,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Chaitanya Deemed-to-be University""}",needs_review,,,,Possible match: Puli Yash Vardhan (65% confidence). Review before merging.,,,f,,,f,tech,,deployed,f,
207,,87d7dd8a4f454a688c382a91a59fa2b6,Jaka Prasanth,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Aurora University""}",payroll_converted,,,,,payroll_converted,Confirmed against uploaded payroll reference file,f,,,f,tech,,deployed,t,
184,,b54f181c317c4685afc0ca97a9347e3b,Yarlagadda Jaswanth Kumar,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Intensive Offline DC""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
172,,48486d60d7944588809419300284461e,Sachith Krishna A,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
154,,98d7c842b91b4f84b51c353b40d93c85,Darla Sandeep,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Annamacharya University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
216,,7f7ae84d2e064e1580f00ec15111e99e,Mir Nabeel Uddin,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Chaitanya Deemed-to-be University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
224,,43d49812347d44abb50f651fae48fc6b,Rugveda Kurukuri,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
234,,ff2122c5670e4bd48ad8ad983ae2b2cd,Rachit Dwivedi,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
210,,2b1870559c4e47338882569ff569303e,Manas Jyoti Roy,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""NIAT Chevella""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
220,,a61aaab345c24cecbf9207d69b98ba76,Shruti Sharma,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
215,,3187b96a359f4c52aed8d92a362a4e96,Rasani Mounika,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Aurora University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
239,,22048cafa5a341738bc52b0fbd7e1cd1,Akula Nithin,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Annamacharya University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
211,,a4c2f4069ba3460ba6fd37e2703a4711,K Narendran,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
240,,29493a248e964ca8a14ff73ea472983a,Katta Jayachandra,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,{AMET},needs_review,,,,,,,f,,,f,tech,,deployed,f,
223,,7f0fc1f8366d478692ca2c5020cb3b00,MADDULA SIREESHA,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
204,,19291147642540b6aacd3ad4e06bae6f,Pratheek Pralhdachar,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Yenapoya University""}",payroll_converted,,,,,payroll_converted,Confirmed against uploaded payroll reference file,f,,,f,tech,,deployed,t,
257,,b69b8d581b564fc8b71b23b41dbb9bb1,Swetha Thammaneni,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Aurora University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
264,,9656429caeae49a4a8d4025bf3517610,Tirumalasetti Karthikeya,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
280,,b015e35d41254b379c288c261e524506,KATRAPATI SRI CHANDANA,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Chaitanya Deemed-to-be University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
266,,c500ec4bf0db42c3affbecdae7b0e87d,Blessy Tadepalli,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Chaitanya Deemed-to-be University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
263,,e4c680bdc58f428387a6745efbd82d36,Mayank Pratap Singh Chauhan,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Vivekananda global University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
247,,2a06fc924df94afa8580021f673392d3,K. Bhavana Sai,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
283,,70d151ff250d47e6832a99e031ede92c,Devi Sree Prasad Mudooru,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
261,,25620824ec804cd0bf46d180c2d861cc,RENGARASU C,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Takshasila University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
255,,ea3e569f60b04a0da21f8a15dcfe38f1,Talanki Sai Sreekar,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,{GMRIT},needs_review,,,,,,,f,,,f,tech,,deployed,f,
279,,6b754a0ba7da42bd8b0fff5fb27f1aa7,Deepika K,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Joy University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
282,,a124b781acaa4f1292b6a7cc9396aab3,Kilaparthi Mani Shankar Avinash,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
256,,19a6973d109f4eabb39539f9855fc6d1,Divya Sankari S,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""SPIHER University Chennai""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
312,,81df68f8f8564a8996fc5a55d0815a03,Bershina .P,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Malla Reddy Vishwavidyapeeth""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
306,,3a526da85b7c4337bca559f47a38d8f2,Ganta Akhila,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
277,,8861d601a074407ba4f0dcfeba560a57,Vuyyuri Kavya Sri,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""SMR University""}",needs_review,,,,Possible match: Potluri Divya Sri (65% confidence). Review before merging.,,,f,,,f,tech,,deployed,f,
225,,07326662faec42618af055d44915caa8,Mallesh Dolu,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
288,,e0ca5738e11b41bebe0a9d4dad3c05fc,Archana Kumari,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
301,,63fa794112464ae9a9c6452494296ef9,Atifa Raheel,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""SMR University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
276,,3ec7f5e170bf4dcf805d481dd7a7a629,Dangeti Siddharth,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Sri Sri University""}",needs_review,,,,Possible match: Vakiti Siddhartha (71% confidence). Review before merging.,,,f,,,f,tech,,deployed,f,
217,,7f8520aa91fe408e91c11af0cbf9486a,Deepthi,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Malla Reddy Vishwavidyapeeth""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
341,,f3ed4d6dc9474be392871798a6fe5974,Meetali Sharma,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Aurora University""}",needs_review,,,,Possible match: Devnath Sharma (64% confidence). Review before merging.,,,f,,,f,tech,,deployed,f,
330,,49fafab056fe4e91b2d806c84203ebd6,Veeresh Ambari,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
331,,0748956186124fb2a36e1a323d05606b,Praveen,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,{NRI},needs_review,,,,,,,f,,,f,tech,,deployed,f,
334,,1a70e8ac5b3349d88e6d2dcb3c043cdc,Pankaj Gangwar,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""A Dy Patil University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
340,,e592f20ebfb04eeeb8b818d3779dc4d9,NARENDRA V S,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Yenapoya University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
354,,ed155807d3fd4a68a8aea5c2e0ded76c,Tahura Tazeen Khanam,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
303,,c4f4990dadf4414fa51d92973fe7c264,SANJANA BORIGAM,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
366,,a6cb04da74f74954a46e9334e7c996d0,Vinay Dua,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,Possible match: Vinay R A (78% confidence). Review before merging.,,,f,,,f,tech,,in_training,f,
395,,c4883be8e0cf4922973c007733a59ec2,Gunavardhan Yenneti,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,{NRI},needs_review,,,,,,,f,,,f,tech,,deployed,f,
371,,3e20483132e64dcbb8eba0d70933d4ea,Divyam Agarwal,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Vivekananda global University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
369,,7761e94fe19f4d7f92c092c892c64ef2,Chenchala Shiva Prasad,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
386,,e6a3feab9fea4e369e79e7880c8f437b,AKASH SINGH,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Vivekananda global University""}",needs_review,,,,Possible match: Manish Singh (75% confidence). Review before merging.,,,f,,,f,tech,,deployed,f,
373,,db5b229e7b9f4ec0aab8aa7754074697,Deepak R,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Naga Venkata Dasaradhi Nunna,"{""Joy University""}",needs_review,,,,Possible match: Deepika K (67% confidence). Review before merging.,,,f,,,f,tech,,deployed,f,
383,,e2156c6bdac94adab9ff3b3908499153,Hema Kumar,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,{NRI},needs_review,,,,,,,f,,,f,tech,,deployed,f,
380,,1fbf3e5eb33248beadf7094fb7d5aa79,Siddhanth Mosam,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Dharavath Jayanth,"{""IIT kharagpur""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
362,,df5dca5738e54dd3bfebee8d8c67d6f5,Suhas S,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Joy University""}",needs_review,,,,,,,f,,,f,tech,,deployed,f,
260,,d11989acc31d44e4b7b15ff982c8435e,Ashutosh Kurhade,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
275,,fd1bd4ba65ec47d09a7532aeef59c7fb,Pavitra Hepsiba,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
273,,dcc84b781ea04fadb903e900a992bc81,Sandeep Kumar,,,,,,,,,,,,,,f,t,CENTRAL_INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Yenapoya University""}",needs_review,,,,Possible match: Sandeep Sharma (64% confidence). Review before merging.,,,f,,,f,tech,,deployed,f,
142,,c70004d89466482b8f080afc7af9d391,Alapati Bhargava Rama Bharadwaja,,,,,,,,,,,,,,f,t,INSTRUCTOR,TECH,Venkatesh Pitchumani,"{""Training Institute""}",needs_review,,,,,,,f,,,f,tech,,in_training,f,
